precontext,sentence,ending,judged_meaning,example_sentence,text_only,meaning_only,text_plus_expl
"John had always enjoyed taking long walks in the early evening. He liked to clear his mind and watch the world slowly settle down. That evening, the air was crisp, and the sky was beginning to change color.",A man was walking down the road when he noticed a bombshell on the other side of the road.,,an entertainer who has a sensational effect,She was the ultimate blonde bombshell.,"John had always enjoyed taking long walks in the early evening. He liked to clear his mind and watch the world slowly settle down. That evening, the air was crisp, and the sky was beginning to change color. A man was walking down the road when he noticed a bombshell on the other side of the road.",an entertainer who has a sensational effect,"John had always enjoyed taking long walks in the early evening. He liked to clear his mind and watch the world slowly settle down. That evening, the air was crisp, and the sky was beginning to change color. A man was walking down the road when he noticed a bombshell on the other side of the road. Explanation: an entertainer who has a sensational effect"
"John had always enjoyed taking long walks in the early evening. He liked to clear his mind and watch the world slowly settle down. That evening, the air was crisp, and the sky was beginning to change color.",A man was walking down the road when he noticed a bombshell on the other side of the road.,,an explosive bomb or artillery shell,The bombshell exploded with a deafening roar.,"John had always enjoyed taking long walks in the early evening. He liked to clear his mind and watch the world slowly settle down. That evening, the air was crisp, and the sky was beginning to change color. A man was walking down the road when he noticed a bombshell on the other side of the road.",an explosive bomb or artillery shell,"John had always enjoyed taking long walks in the early evening. He liked to clear his mind and watch the world slowly settle down. That evening, the air was crisp, and the sky was beginning to change color. A man was walking down the road when he noticed a bombshell on the other side of the road. Explanation: an explosive bomb or artillery shell"
"Jim loved spending his weekends in the backyard. He often played games with his friends or watched nature. Today, he noticed something interesting nearby.",The bird flew behind the bush.,"""It must have a nest back there,"" thought Jim.",warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings,The bird soared gracefully through the sky.,"Jim loved spending his weekends in the backyard. He often played games with his friends or watched nature. Today, he noticed something interesting nearby. The bird flew behind the bush. ""It must have a nest back there,"" thought Jim.",warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings,"Jim loved spending his weekends in the backyard. He often played games with his friends or watched nature. Today, he noticed something interesting nearby. The bird flew behind the bush. ""It must have a nest back there,"" thought Jim. Explanation: warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings"
"Jim loved spending his weekends in the backyard. He often played games with his friends or watched nature. Today, he noticed something interesting nearby.",The bird flew behind the bush.,"""It must have a nest back there,"" thought Jim.",badminton equipment consisting of a ball of cork or rubber with a crown of feathers,She hit the bird over the net.,"Jim loved spending his weekends in the backyard. He often played games with his friends or watched nature. Today, he noticed something interesting nearby. The bird flew behind the bush. ""It must have a nest back there,"" thought Jim.",badminton equipment consisting of a ball of cork or rubber with a crown of feathers,"Jim loved spending his weekends in the backyard. He often played games with his friends or watched nature. Today, he noticed something interesting nearby. The bird flew behind the bush. ""It must have a nest back there,"" thought Jim. Explanation: badminton equipment consisting of a ball of cork or rubber with a crown of feathers"
"Jim loved spending his weekends in the backyard. He often played games with his friends or watched nature. Today, he noticed something interesting nearby.",The bird flew behind the bush.,"He reached down to get it, but even he was surprised at how far it had rolled after his last serve.",warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings,The bird soared gracefully through the sky.,"Jim loved spending his weekends in the backyard. He often played games with his friends or watched nature. Today, he noticed something interesting nearby. The bird flew behind the bush. He reached down to get it, but even he was surprised at how far it had rolled after his last serve.",warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings,"Jim loved spending his weekends in the backyard. He often played games with his friends or watched nature. Today, he noticed something interesting nearby. The bird flew behind the bush. He reached down to get it, but even he was surprised at how far it had rolled after his last serve. Explanation: warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings"
"Jim loved spending his weekends in the backyard. He often played games with his friends or watched nature. Today, he noticed something interesting nearby.",The bird flew behind the bush.,"He reached down to get it, but even he was surprised at how far it had rolled after his last serve.",badminton equipment consisting of a ball of cork or rubber with a crown of feathers,She hit the bird over the net.,"Jim loved spending his weekends in the backyard. He often played games with his friends or watched nature. Today, he noticed something interesting nearby. The bird flew behind the bush. He reached down to get it, but even he was surprised at how far it had rolled after his last serve.",badminton equipment consisting of a ball of cork or rubber with a crown of feathers,"Jim loved spending his weekends in the backyard. He often played games with his friends or watched nature. Today, he noticed something interesting nearby. The bird flew behind the bush. He reached down to get it, but even he was surprised at how far it had rolled after his last serve. Explanation: badminton equipment consisting of a ball of cork or rubber with a crown of feathers"
"Jim loved spending his weekends in the backyard. He often played games with his friends or watched nature. Today, he noticed something interesting nearby.",The bird flew behind the bush.,,warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings,The bird soared gracefully through the sky.,"Jim loved spending his weekends in the backyard. He often played games with his friends or watched nature. Today, he noticed something interesting nearby. The bird flew behind the bush.",warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings,"Jim loved spending his weekends in the backyard. He often played games with his friends or watched nature. Today, he noticed something interesting nearby. The bird flew behind the bush. Explanation: warm-blooded egg-laying vertebrates characterized by feathers and forelimbs modified as wings"
"Jim loved spending his weekends in the backyard. He often played games with his friends or watched nature. Today, he noticed something interesting nearby.",The bird flew behind the bush.,,badminton equipment consisting of a ball of cork or rubber with a crown of feathers,She hit the bird over the net.,"Jim loved spending his weekends in the backyard. He often played games with his friends or watched nature. Today, he noticed something interesting nearby. The bird flew behind the bush.",badminton equipment consisting of a ball of cork or rubber with a crown of feathers,"Jim loved spending his weekends in the backyard. He often played games with his friends or watched nature. Today, he noticed something interesting nearby. The bird flew behind the bush. Explanation: badminton equipment consisting of a ball of cork or rubber with a crown of feathers"
The team gathered at the field for an important match. The captain gave them a motivational speech before the game. The players focused on their tasks and looked to the captain for guidance.,The players played well under the standards set by the captain.,"Even though the captain restricted their best efforts, the players still managed to perform well.",the ideal in terms of which something can be judged,She upheld the community's high standard.,"The team gathered at the field for an important match. The captain gave them a motivational speech before the game. The players focused on their tasks and looked to the captain for guidance. The players played well under the standards set by the captain. Even though the captain restricted their best efforts, the players still managed to perform well.",the ideal in terms of which something can be judged,"The team gathered at the field for an important match. The captain gave them a motivational speech before the game. The players focused on their tasks and looked to the captain for guidance. The players played well under the standards set by the captain. Even though the captain restricted their best efforts, the players still managed to perform well. Explanation: the ideal in terms of which something can be judged"
The team gathered at the field for an important match. The captain gave them a motivational speech before the game. The players focused on their tasks and looked to the captain for guidance.,The players played well under the standards set by the captain.,"Even though the captain restricted their best efforts, the players still managed to perform well.",any distinctive flag,The soldiers carried their country's standard.,"The team gathered at the field for an important match. The captain gave them a motivational speech before the game. The players focused on their tasks and looked to the captain for guidance. The players played well under the standards set by the captain. Even though the captain restricted their best efforts, the players still managed to perform well.",any distinctive flag,"The team gathered at the field for an important match. The captain gave them a motivational speech before the game. The players focused on their tasks and looked to the captain for guidance. The players played well under the standards set by the captain. Even though the captain restricted their best efforts, the players still managed to perform well. Explanation: any distinctive flag"
The team gathered at the field for an important match. The captain gave them a motivational speech before the game. The players focused on their tasks and looked to the captain for guidance.,The players played well under the standards set by the captain.,"The colorful flags billowed in the wind, providing a focal point for morale.",the ideal in terms of which something can be judged,She upheld the community's high standard.,"The team gathered at the field for an important match. The captain gave them a motivational speech before the game. The players focused on their tasks and looked to the captain for guidance. The players played well under the standards set by the captain. The colorful flags billowed in the wind, providing a focal point for morale.",the ideal in terms of which something can be judged,"The team gathered at the field for an important match. The captain gave them a motivational speech before the game. The players focused on their tasks and looked to the captain for guidance. The players played well under the standards set by the captain. The colorful flags billowed in the wind, providing a focal point for morale. Explanation: the ideal in terms of which something can be judged"
The team gathered at the field for an important match. The captain gave them a motivational speech before the game. The players focused on their tasks and looked to the captain for guidance.,The players played well under the standards set by the captain.,"The colorful flags billowed in the wind, providing a focal point for morale.",any distinctive flag,The soldiers carried their country's standard.,"The team gathered at the field for an important match. The captain gave them a motivational speech before the game. The players focused on their tasks and looked to the captain for guidance. The players played well under the standards set by the captain. The colorful flags billowed in the wind, providing a focal point for morale.",any distinctive flag,"The team gathered at the field for an important match. The captain gave them a motivational speech before the game. The players focused on their tasks and looked to the captain for guidance. The players played well under the standards set by the captain. The colorful flags billowed in the wind, providing a focal point for morale. Explanation: any distinctive flag"
The team gathered at the field for an important match. The captain gave them a motivational speech before the game. The players focused on their tasks and looked to the captain for guidance.,The players played well under the standards set by the captain.,,the ideal in terms of which something can be judged,She upheld the community's high standard.,The team gathered at the field for an important match. The captain gave them a motivational speech before the game. The players focused on their tasks and looked to the captain for guidance. The players played well under the standards set by the captain.,the ideal in terms of which something can be judged,The team gathered at the field for an important match. The captain gave them a motivational speech before the game. The players focused on their tasks and looked to the captain for guidance. The players played well under the standards set by the captain. Explanation: the ideal in terms of which something can be judged
The team gathered at the field for an important match. The captain gave them a motivational speech before the game. The players focused on their tasks and looked to the captain for guidance.,The players played well under the standards set by the captain.,,any distinctive flag,The soldiers carried their country's standard.,The team gathered at the field for an important match. The captain gave them a motivational speech before the game. The players focused on their tasks and looked to the captain for guidance. The players played well under the standards set by the captain.,any distinctive flag,The team gathered at the field for an important match. The captain gave them a motivational speech before the game. The players focused on their tasks and looked to the captain for guidance. The players played well under the standards set by the captain. Explanation: any distinctive flag
The marching band entered the stadium. Each member carried something important. The banner leader held the iconic emblem in his hands.,The person upheld the standard required for the particular task.,Everyone looked closely and admired the design of the flag that the person was holding.,the ideal in terms of which something can be judged,She upheld the community's high standard.,The marching band entered the stadium. Each member carried something important. The banner leader held the iconic emblem in his hands. The person upheld the standard required for the particular task. Everyone looked closely and admired the design of the flag that the person was holding.,the ideal in terms of which something can be judged,The marching band entered the stadium. Each member carried something important. The banner leader held the iconic emblem in his hands. The person upheld the standard required for the particular task. Everyone looked closely and admired the design of the flag that the person was holding. Explanation: the ideal in terms of which something can be judged
The marching band entered the stadium. Each member carried something important. The banner leader held the iconic emblem in his hands.,The person upheld the standard required for the particular task.,Everyone looked closely and admired the design of the flag that the person was holding.,any distinctive flag,The soldiers carried their country's standard.,The marching band entered the stadium. Each member carried something important. The banner leader held the iconic emblem in his hands. The person upheld the standard required for the particular task. Everyone looked closely and admired the design of the flag that the person was holding.,any distinctive flag,The marching band entered the stadium. Each member carried something important. The banner leader held the iconic emblem in his hands. The person upheld the standard required for the particular task. Everyone looked closely and admired the design of the flag that the person was holding. Explanation: any distinctive flag
The marching band entered the stadium. Each member carried something important. The banner leader held the iconic emblem in his hands.,The person upheld the standard required for the particular task.,Everyone marveled at his poise and calm demeanor.,the ideal in terms of which something can be judged,She upheld the community's high standard.,The marching band entered the stadium. Each member carried something important. The banner leader held the iconic emblem in his hands. The person upheld the standard required for the particular task. Everyone marveled at his poise and calm demeanor.,the ideal in terms of which something can be judged,The marching band entered the stadium. Each member carried something important. The banner leader held the iconic emblem in his hands. The person upheld the standard required for the particular task. Everyone marveled at his poise and calm demeanor. Explanation: the ideal in terms of which something can be judged
The marching band entered the stadium. Each member carried something important. The banner leader held the iconic emblem in his hands.,The person upheld the standard required for the particular task.,Everyone marveled at his poise and calm demeanor.,any distinctive flag,The soldiers carried their country's standard.,The marching band entered the stadium. Each member carried something important. The banner leader held the iconic emblem in his hands. The person upheld the standard required for the particular task. Everyone marveled at his poise and calm demeanor.,any distinctive flag,The marching band entered the stadium. Each member carried something important. The banner leader held the iconic emblem in his hands. The person upheld the standard required for the particular task. Everyone marveled at his poise and calm demeanor. Explanation: any distinctive flag
The marching band entered the stadium. Each member carried something important. The banner leader held the iconic emblem in his hands.,The person upheld the standard required for the particular task.,,the ideal in terms of which something can be judged,She upheld the community's high standard.,The marching band entered the stadium. Each member carried something important. The banner leader held the iconic emblem in his hands. The person upheld the standard required for the particular task.,the ideal in terms of which something can be judged,The marching band entered the stadium. Each member carried something important. The banner leader held the iconic emblem in his hands. The person upheld the standard required for the particular task. Explanation: the ideal in terms of which something can be judged
The marching band entered the stadium. Each member carried something important. The banner leader held the iconic emblem in his hands.,The person upheld the standard required for the particular task.,,any distinctive flag,The soldiers carried their country's standard.,The marching band entered the stadium. Each member carried something important. The banner leader held the iconic emblem in his hands. The person upheld the standard required for the particular task.,any distinctive flag,The marching band entered the stadium. Each member carried something important. The banner leader held the iconic emblem in his hands. The person upheld the standard required for the particular task. Explanation: any distinctive flag
The team was excited to start the new project. Their goal was to ensure everything worked smoothly. They installed a new monitoring system to keep track of any issues.,The monitoring system detected a few bugs.,"Some had passed on in the motherboard, but they were able to extract them after opening the system unit.",general term for any insect or similar creeping or crawling invertebrate,The garden was full of bugs.,"The team was excited to start the new project. Their goal was to ensure everything worked smoothly. They installed a new monitoring system to keep track of any issues. The monitoring system detected a few bugs. Some had passed on in the motherboard, but they were able to extract them after opening the system unit.",general term for any insect or similar creeping or crawling invertebrate,"The team was excited to start the new project. Their goal was to ensure everything worked smoothly. They installed a new monitoring system to keep track of any issues. The monitoring system detected a few bugs. Some had passed on in the motherboard, but they were able to extract them after opening the system unit. Explanation: general term for any insect or similar creeping or crawling invertebrate"
The team was excited to start the new project. Their goal was to ensure everything worked smoothly. They installed a new monitoring system to keep track of any issues.,The monitoring system detected a few bugs.,"Some had passed on in the motherboard, but they were able to extract them after opening the system unit.","a fault or defect in a computer program, system, or machine",There's a bug in the software.,"The team was excited to start the new project. Their goal was to ensure everything worked smoothly. They installed a new monitoring system to keep track of any issues. The monitoring system detected a few bugs. Some had passed on in the motherboard, but they were able to extract them after opening the system unit.","a fault or defect in a computer program, system, or machine","The team was excited to start the new project. Their goal was to ensure everything worked smoothly. They installed a new monitoring system to keep track of any issues. The monitoring system detected a few bugs. Some had passed on in the motherboard, but they were able to extract them after opening the system unit. Explanation: a fault or defect in a computer program, system, or machine"
The team was excited to start the new project. Their goal was to ensure everything worked smoothly. They installed a new monitoring system to keep track of any issues.,The monitoring system detected a few bugs.,This was easily fixed with updates in the coding software.,general term for any insect or similar creeping or crawling invertebrate,The garden was full of bugs.,The team was excited to start the new project. Their goal was to ensure everything worked smoothly. They installed a new monitoring system to keep track of any issues. The monitoring system detected a few bugs. This was easily fixed with updates in the coding software.,general term for any insect or similar creeping or crawling invertebrate,The team was excited to start the new project. Their goal was to ensure everything worked smoothly. They installed a new monitoring system to keep track of any issues. The monitoring system detected a few bugs. This was easily fixed with updates in the coding software. Explanation: general term for any insect or similar creeping or crawling invertebrate
The team was excited to start the new project. Their goal was to ensure everything worked smoothly. They installed a new monitoring system to keep track of any issues.,The monitoring system detected a few bugs.,This was easily fixed with updates in the coding software.,"a fault or defect in a computer program, system, or machine",There's a bug in the software.,The team was excited to start the new project. Their goal was to ensure everything worked smoothly. They installed a new monitoring system to keep track of any issues. The monitoring system detected a few bugs. This was easily fixed with updates in the coding software.,"a fault or defect in a computer program, system, or machine","The team was excited to start the new project. Their goal was to ensure everything worked smoothly. They installed a new monitoring system to keep track of any issues. The monitoring system detected a few bugs. This was easily fixed with updates in the coding software. Explanation: a fault or defect in a computer program, system, or machine"
The team was excited to start the new project. Their goal was to ensure everything worked smoothly. They installed a new monitoring system to keep track of any issues.,The monitoring system detected a few bugs.,,general term for any insect or similar creeping or crawling invertebrate,The garden was full of bugs.,The team was excited to start the new project. Their goal was to ensure everything worked smoothly. They installed a new monitoring system to keep track of any issues. The monitoring system detected a few bugs.,general term for any insect or similar creeping or crawling invertebrate,The team was excited to start the new project. Their goal was to ensure everything worked smoothly. They installed a new monitoring system to keep track of any issues. The monitoring system detected a few bugs. Explanation: general term for any insect or similar creeping or crawling invertebrate
The team was excited to start the new project. Their goal was to ensure everything worked smoothly. They installed a new monitoring system to keep track of any issues.,The monitoring system detected a few bugs.,,"a fault or defect in a computer program, system, or machine",There's a bug in the software.,The team was excited to start the new project. Their goal was to ensure everything worked smoothly. They installed a new monitoring system to keep track of any issues. The monitoring system detected a few bugs.,"a fault or defect in a computer program, system, or machine","The team was excited to start the new project. Their goal was to ensure everything worked smoothly. They installed a new monitoring system to keep track of any issues. The monitoring system detected a few bugs. Explanation: a fault or defect in a computer program, system, or machine"
"Anna was having a tough week. Her room was a mess, and her computer kept crashing. Frustrated by everything going wrong, she called Jen.",She asked her friend to help her get rid of the bugs.,They were crawling on the keyboard. Maybe that was the reason it didn't work.,general term for any insect or similar creeping or crawling invertebrate,The garden was full of bugs.,"Anna was having a tough week. Her room was a mess, and her computer kept crashing. Frustrated by everything going wrong, she called Jen. She asked her friend to help her get rid of the bugs. They were crawling on the keyboard. Maybe that was the reason it didn't work.",general term for any insect or similar creeping or crawling invertebrate,"Anna was having a tough week. Her room was a mess, and her computer kept crashing. Frustrated by everything going wrong, she called Jen. She asked her friend to help her get rid of the bugs. They were crawling on the keyboard. Maybe that was the reason it didn't work. Explanation: general term for any insect or similar creeping or crawling invertebrate"
"Anna was having a tough week. Her room was a mess, and her computer kept crashing. Frustrated by everything going wrong, she called Jen.",She asked her friend to help her get rid of the bugs.,They were crawling on the keyboard. Maybe that was the reason it didn't work.,"a fault or defect in a computer program, system, or machine",There's a bug in the software.,"Anna was having a tough week. Her room was a mess, and her computer kept crashing. Frustrated by everything going wrong, she called Jen. She asked her friend to help her get rid of the bugs. They were crawling on the keyboard. Maybe that was the reason it didn't work.","a fault or defect in a computer program, system, or machine","Anna was having a tough week. Her room was a mess, and her computer kept crashing. Frustrated by everything going wrong, she called Jen. She asked her friend to help her get rid of the bugs. They were crawling on the keyboard. Maybe that was the reason it didn't work. Explanation: a fault or defect in a computer program, system, or machine"
"Anna was having a tough week. Her room was a mess, and her computer kept crashing. Frustrated by everything going wrong, she called Jen.",She asked her friend to help her get rid of the bugs.,Installing new antivirus software didn't do the trick.,general term for any insect or similar creeping or crawling invertebrate,The garden was full of bugs.,"Anna was having a tough week. Her room was a mess, and her computer kept crashing. Frustrated by everything going wrong, she called Jen. She asked her friend to help her get rid of the bugs. Installing new antivirus software didn't do the trick.",general term for any insect or similar creeping or crawling invertebrate,"Anna was having a tough week. Her room was a mess, and her computer kept crashing. Frustrated by everything going wrong, she called Jen. She asked her friend to help her get rid of the bugs. Installing new antivirus software didn't do the trick. Explanation: general term for any insect or similar creeping or crawling invertebrate"
"Anna was having a tough week. Her room was a mess, and her computer kept crashing. Frustrated by everything going wrong, she called Jen.",She asked her friend to help her get rid of the bugs.,Installing new antivirus software didn't do the trick.,"a fault or defect in a computer program, system, or machine",There's a bug in the software.,"Anna was having a tough week. Her room was a mess, and her computer kept crashing. Frustrated by everything going wrong, she called Jen. She asked her friend to help her get rid of the bugs. Installing new antivirus software didn't do the trick.","a fault or defect in a computer program, system, or machine","Anna was having a tough week. Her room was a mess, and her computer kept crashing. Frustrated by everything going wrong, she called Jen. She asked her friend to help her get rid of the bugs. Installing new antivirus software didn't do the trick. Explanation: a fault or defect in a computer program, system, or machine"
"Anna was having a tough week. Her room was a mess, and her computer kept crashing. Frustrated by everything going wrong, she called Jen.",She asked her friend to help her get rid of the bugs.,,general term for any insect or similar creeping or crawling invertebrate,The garden was full of bugs.,"Anna was having a tough week. Her room was a mess, and her computer kept crashing. Frustrated by everything going wrong, she called Jen. She asked her friend to help her get rid of the bugs.",general term for any insect or similar creeping or crawling invertebrate,"Anna was having a tough week. Her room was a mess, and her computer kept crashing. Frustrated by everything going wrong, she called Jen. She asked her friend to help her get rid of the bugs. Explanation: general term for any insect or similar creeping or crawling invertebrate"
"Anna was having a tough week. Her room was a mess, and her computer kept crashing. Frustrated by everything going wrong, she called Jen.",She asked her friend to help her get rid of the bugs.,,"a fault or defect in a computer program, system, or machine",There's a bug in the software.,"Anna was having a tough week. Her room was a mess, and her computer kept crashing. Frustrated by everything going wrong, she called Jen. She asked her friend to help her get rid of the bugs.","a fault or defect in a computer program, system, or machine","Anna was having a tough week. Her room was a mess, and her computer kept crashing. Frustrated by everything going wrong, she called Jen. She asked her friend to help her get rid of the bugs. Explanation: a fault or defect in a computer program, system, or machine"
"The team arrived at the site early in the morning. They quickly got to work despite the damp conditions. As the day progressed, unexpected issues began to arise.",The workers were hindered because of the bug.,"It was the biggest insect Miriam had ever seen, almost the size of a sparrow.",general term for any insect or similar creeping or crawling invertebrate,The garden was full of bugs.,"The team arrived at the site early in the morning. They quickly got to work despite the damp conditions. As the day progressed, unexpected issues began to arise. The workers were hindered because of the bug. It was the biggest insect Miriam had ever seen, almost the size of a sparrow.",general term for any insect or similar creeping or crawling invertebrate,"The team arrived at the site early in the morning. They quickly got to work despite the damp conditions. As the day progressed, unexpected issues began to arise. The workers were hindered because of the bug. It was the biggest insect Miriam had ever seen, almost the size of a sparrow. Explanation: general term for any insect or similar creeping or crawling invertebrate"
"The team arrived at the site early in the morning. They quickly got to work despite the damp conditions. As the day progressed, unexpected issues began to arise.",The workers were hindered because of the bug.,"It was the biggest insect Miriam had ever seen, almost the size of a sparrow.","a fault or defect in a computer program, system, or machine",There's a bug in the software.,"The team arrived at the site early in the morning. They quickly got to work despite the damp conditions. As the day progressed, unexpected issues began to arise. The workers were hindered because of the bug. It was the biggest insect Miriam had ever seen, almost the size of a sparrow.","a fault or defect in a computer program, system, or machine","The team arrived at the site early in the morning. They quickly got to work despite the damp conditions. As the day progressed, unexpected issues began to arise. The workers were hindered because of the bug. It was the biggest insect Miriam had ever seen, almost the size of a sparrow. Explanation: a fault or defect in a computer program, system, or machine"
"The team arrived at the site early in the morning. They quickly got to work despite the damp conditions. As the day progressed, unexpected issues began to arise.",The workers were hindered because of the bug.,"It meant that all computer systems were down, causing huge delays.",general term for any insect or similar creeping or crawling invertebrate,The garden was full of bugs.,"The team arrived at the site early in the morning. They quickly got to work despite the damp conditions. As the day progressed, unexpected issues began to arise. The workers were hindered because of the bug. It meant that all computer systems were down, causing huge delays.",general term for any insect or similar creeping or crawling invertebrate,"The team arrived at the site early in the morning. They quickly got to work despite the damp conditions. As the day progressed, unexpected issues began to arise. The workers were hindered because of the bug. It meant that all computer systems were down, causing huge delays. Explanation: general term for any insect or similar creeping or crawling invertebrate"
"The team arrived at the site early in the morning. They quickly got to work despite the damp conditions. As the day progressed, unexpected issues began to arise.",The workers were hindered because of the bug.,"It meant that all computer systems were down, causing huge delays.","a fault or defect in a computer program, system, or machine",There's a bug in the software.,"The team arrived at the site early in the morning. They quickly got to work despite the damp conditions. As the day progressed, unexpected issues began to arise. The workers were hindered because of the bug. It meant that all computer systems were down, causing huge delays.","a fault or defect in a computer program, system, or machine","The team arrived at the site early in the morning. They quickly got to work despite the damp conditions. As the day progressed, unexpected issues began to arise. The workers were hindered because of the bug. It meant that all computer systems were down, causing huge delays. Explanation: a fault or defect in a computer program, system, or machine"
"The team arrived at the site early in the morning. They quickly got to work despite the damp conditions. As the day progressed, unexpected issues began to arise.",The workers were hindered because of the bug.,,general term for any insect or similar creeping or crawling invertebrate,The garden was full of bugs.,"The team arrived at the site early in the morning. They quickly got to work despite the damp conditions. As the day progressed, unexpected issues began to arise. The workers were hindered because of the bug.",general term for any insect or similar creeping or crawling invertebrate,"The team arrived at the site early in the morning. They quickly got to work despite the damp conditions. As the day progressed, unexpected issues began to arise. The workers were hindered because of the bug. Explanation: general term for any insect or similar creeping or crawling invertebrate"
"The team arrived at the site early in the morning. They quickly got to work despite the damp conditions. As the day progressed, unexpected issues began to arise.",The workers were hindered because of the bug.,,"a fault or defect in a computer program, system, or machine",There's a bug in the software.,"The team arrived at the site early in the morning. They quickly got to work despite the damp conditions. As the day progressed, unexpected issues began to arise. The workers were hindered because of the bug.","a fault or defect in a computer program, system, or machine","The team arrived at the site early in the morning. They quickly got to work despite the damp conditions. As the day progressed, unexpected issues began to arise. The workers were hindered because of the bug. Explanation: a fault or defect in a computer program, system, or machine"
"John was having a frustrating morning. His computer kept acting up, and he was worried it might get worse. At the same time, he'd noticed a strange insect crawling near his desk.",He found a safe way to remove the bug from his computer.,And then he got rid of the intruding insect lurking around his computer.,general term for any insect or similar creeping or crawling invertebrate,The garden was full of bugs.,"John was having a frustrating morning. His computer kept acting up, and he was worried it might get worse. At the same time, he'd noticed a strange insect crawling near his desk. He found a safe way to remove the bug from his computer. And then he got rid of the intruding insect lurking around his computer.",general term for any insect or similar creeping or crawling invertebrate,"John was having a frustrating morning. His computer kept acting up, and he was worried it might get worse. At the same time, he'd noticed a strange insect crawling near his desk. He found a safe way to remove the bug from his computer. And then he got rid of the intruding insect lurking around his computer. Explanation: general term for any insect or similar creeping or crawling invertebrate"
"John was having a frustrating morning. His computer kept acting up, and he was worried it might get worse. At the same time, he'd noticed a strange insect crawling near his desk.",He found a safe way to remove the bug from his computer.,And then he got rid of the intruding insect lurking around his computer.,"a fault or defect in a computer program, system, or machine",There's a bug in the software.,"John was having a frustrating morning. His computer kept acting up, and he was worried it might get worse. At the same time, he'd noticed a strange insect crawling near his desk. He found a safe way to remove the bug from his computer. And then he got rid of the intruding insect lurking around his computer.","a fault or defect in a computer program, system, or machine","John was having a frustrating morning. His computer kept acting up, and he was worried it might get worse. At the same time, he'd noticed a strange insect crawling near his desk. He found a safe way to remove the bug from his computer. And then he got rid of the intruding insect lurking around his computer. Explanation: a fault or defect in a computer program, system, or machine"
"John was having a frustrating morning. His computer kept acting up, and he was worried it might get worse. At the same time, he'd noticed a strange insect crawling near his desk.",He found a safe way to remove the bug from his computer.,"It was the old trick, ""switch off and back on,"" that did the trick in the end.",general term for any insect or similar creeping or crawling invertebrate,The garden was full of bugs.,"John was having a frustrating morning. His computer kept acting up, and he was worried it might get worse. At the same time, he'd noticed a strange insect crawling near his desk. He found a safe way to remove the bug from his computer. It was the old trick, ""switch off and back on,"" that did the trick in the end.",general term for any insect or similar creeping or crawling invertebrate,"John was having a frustrating morning. His computer kept acting up, and he was worried it might get worse. At the same time, he'd noticed a strange insect crawling near his desk. He found a safe way to remove the bug from his computer. It was the old trick, ""switch off and back on,"" that did the trick in the end. Explanation: general term for any insect or similar creeping or crawling invertebrate"
"John was having a frustrating morning. His computer kept acting up, and he was worried it might get worse. At the same time, he'd noticed a strange insect crawling near his desk.",He found a safe way to remove the bug from his computer.,"It was the old trick, ""switch off and back on,"" that did the trick in the end.","a fault or defect in a computer program, system, or machine",There's a bug in the software.,"John was having a frustrating morning. His computer kept acting up, and he was worried it might get worse. At the same time, he'd noticed a strange insect crawling near his desk. He found a safe way to remove the bug from his computer. It was the old trick, ""switch off and back on,"" that did the trick in the end.","a fault or defect in a computer program, system, or machine","John was having a frustrating morning. His computer kept acting up, and he was worried it might get worse. At the same time, he'd noticed a strange insect crawling near his desk. He found a safe way to remove the bug from his computer. It was the old trick, ""switch off and back on,"" that did the trick in the end. Explanation: a fault or defect in a computer program, system, or machine"
"John was having a frustrating morning. His computer kept acting up, and he was worried it might get worse. At the same time, he'd noticed a strange insect crawling near his desk.",He found a safe way to remove the bug from his computer.,,general term for any insect or similar creeping or crawling invertebrate,The garden was full of bugs.,"John was having a frustrating morning. His computer kept acting up, and he was worried it might get worse. At the same time, he'd noticed a strange insect crawling near his desk. He found a safe way to remove the bug from his computer.",general term for any insect or similar creeping or crawling invertebrate,"John was having a frustrating morning. His computer kept acting up, and he was worried it might get worse. At the same time, he'd noticed a strange insect crawling near his desk. He found a safe way to remove the bug from his computer. Explanation: general term for any insect or similar creeping or crawling invertebrate"
"John was having a frustrating morning. His computer kept acting up, and he was worried it might get worse. At the same time, he'd noticed a strange insect crawling near his desk.",He found a safe way to remove the bug from his computer.,,"a fault or defect in a computer program, system, or machine",There's a bug in the software.,"John was having a frustrating morning. His computer kept acting up, and he was worried it might get worse. At the same time, he'd noticed a strange insect crawling near his desk. He found a safe way to remove the bug from his computer.","a fault or defect in a computer program, system, or machine","John was having a frustrating morning. His computer kept acting up, and he was worried it might get worse. At the same time, he'd noticed a strange insect crawling near his desk. He found a safe way to remove the bug from his computer. Explanation: a fault or defect in a computer program, system, or machine"
